Variant,Threshold,Alpha,nDCG@10,Hit@10,MRR,P@10
Baseline,,,0.0684,0.1303,0.0629,0.013
Baseline,,,0.0684,0.1303,0.0629,0.013
Filter,fixed<=1,,0.0684,0.1303,0.0629,0.013
Filter,fixed<=1,,0.0684,0.1303,0.0629,0.013
Filter,fixed<=2,,0.0684,0.1303,0.0629,0.013
Filter,fixed<=2,,0.0684,0.1303,0.0629,0.013
Filter,fixed<=3,,0.0684,0.1303,0.0629,0.013
Filter,fixed<=3,,0.0684,0.1303,0.0629,0.013
Filter,median,,0.0684,0.1303,0.0629,0.013
Filter,median,,0.0684,0.1303,0.0629,0.013
Filter,modus,,0.0684,0.1303,0.0629,0.013
Filter,modus,,0.0684,0.1303,0.0629,0.013
Rerank,fixed<=1,0.1,0.0676,0.1288,0.0623,0.0129
Rerank,fixed<=1,0.1,0.0676,0.1288,0.0623,0.0129
Rerank,fixed<=1,0.3,0.0664,0.1258,0.0616,0.0126
Rerank,fixed<=1,0.3,0.0664,0.1258,0.0616,0.0126
Rerank,fixed<=1,1.0,0.0623,0.1182,0.0582,0.0118
Rerank,fixed<=1,1.0,0.0623,0.1182,0.0582,0.0118
Rerank,fixed<=2,0.1,0.0666,0.1268,0.0616,0.0127
Rerank,fixed<=2,0.1,0.0666,0.1268,0.0616,0.0127
Rerank,fixed<=2,0.3,0.0643,0.1235,0.0595,0.0124
Rerank,fixed<=2,0.3,0.0643,0.1235,0.0595,0.0124
Rerank,fixed<=2,1.0,0.0564,0.1081,0.053,0.0108
Rerank,fixed<=2,1.0,0.0564,0.1081,0.053,0.0108
Rerank,fixed<=3,0.1,0.0651,0.124,0.0605,0.0124
Rerank,fixed<=3,0.1,0.0651,0.124,0.0605,0.0124
Rerank,fixed<=3,0.3,0.0597,0.1159,0.0556,0.0116
Rerank,fixed<=3,0.3,0.0597,0.1159,0.0556,0.0116
Rerank,fixed<=3,1.0,0.0449,0.0904,0.043,0.009
Rerank,fixed<=3,1.0,0.0449,0.0904,0.043,0.009
Rerank,median,0.1,0.0651,0.1242,0.0604,0.0124
Rerank,median,0.1,0.0651,0.1242,0.0604,0.0124
Rerank,median,0.3,0.0592,0.1151,0.0554,0.0115
Rerank,median,0.3,0.0592,0.1151,0.0554,0.0115
Rerank,median,1.0,0.0447,0.0899,0.0429,0.009
Rerank,median,1.0,0.0447,0.0899,0.0429,0.009
Rerank,modus,0.1,0.065,0.1245,0.0602,0.0125
Rerank,modus,0.1,0.065,0.1245,0.0602,0.0125
Rerank,modus,0.3,0.0596,0.1164,0.0553,0.0116
Rerank,modus,0.3,0.0596,0.1164,0.0553,0.0116
Rerank,modus,1.0,0.044,0.0892,0.0422,0.0089
Rerank,modus,1.0,0.044,0.0892,0.0422,0.0089
Weighted,fixed<=1,0.1,0.0679,0.1288,0.0628,0.0129
Weighted,fixed<=1,0.1,0.0679,0.1288,0.0628,0.0129
Weighted,fixed<=1,0.3,0.0673,0.1275,0.0624,0.0127
Weighted,fixed<=1,0.3,0.0673,0.1275,0.0624,0.0127
Weighted,fixed<=1,1.0,0.0647,0.1209,0.0609,0.0121
Weighted,fixed<=1,1.0,0.0647,0.1209,0.0609,0.0121
Weighted,fixed<=2,0.1,0.0676,0.1286,0.0625,0.0129
Weighted,fixed<=2,0.1,0.0676,0.1286,0.0625,0.0129
Weighted,fixed<=2,0.3,0.0669,0.1268,0.0621,0.0127
Weighted,fixed<=2,0.3,0.0669,0.1268,0.0621,0.0127
Weighted,fixed<=2,1.0,0.0638,0.1219,0.0593,0.0122
Weighted,fixed<=2,1.0,0.0638,0.1219,0.0593,0.0122
Weighted,fixed<=3,0.1,0.0675,0.1281,0.0625,0.0128
Weighted,fixed<=3,0.1,0.0675,0.1281,0.0625,0.0128
Weighted,fixed<=3,0.3,0.0665,0.1265,0.0617,0.0126
Weighted,fixed<=3,0.3,0.0665,0.1265,0.0617,0.0126
Weighted,fixed<=3,1.0,0.063,0.1195,0.0591,0.012
Weighted,fixed<=3,1.0,0.063,0.1195,0.0591,0.012
Weighted,median,0.1,0.0676,0.1283,0.0625,0.0128
Weighted,median,0.1,0.0676,0.1283,0.0625,0.0128
Weighted,median,0.3,0.0669,0.127,0.0619,0.0127
Weighted,median,0.3,0.0669,0.127,0.0619,0.0127
Weighted,median,1.0,0.0634,0.1204,0.0593,0.012
Weighted,median,1.0,0.0634,0.1204,0.0593,0.012
Weighted,modus,0.1,0.0675,0.1283,0.0624,0.0128
Weighted,modus,0.1,0.0675,0.1283,0.0624,0.0128
Weighted,modus,0.3,0.0669,0.127,0.062,0.0127
Weighted,modus,0.3,0.0669,0.127,0.062,0.0127
Weighted,modus,1.0,0.0642,0.1215,0.0599,0.0122
Weighted,modus,1.0,0.0642,0.1215,0.0599,0.0122
